	review_id	asin	reviewer_id	category	num_sentence	sentence	tip	type	standalone	before/after	extend_position	sen_length
19	6	735308365	A2D3BT3VQLI1DA	Toys & Games	5	The ring that holds the card together is kind of flimsy.	1.0	Warning	yes	before	before	11
20	6	735308365	A2D3BT3VQLI1DA	Toys & Games	6	There is value in having the cards be detachable but I almost wish the ring was more permanent.	1.0	Warning	no	before	after	18
80	20	913866687	A3KWAN5J031OOU	Toys & Games	1	Definitely not a game for young children.	1.0	Population segment	yes	before		7
115	24	974665207	A1BPEOEXWUJ7KM	Toys & Games	4	The book does get some residue on it after each use, but that would come clean with some water or windex.	1.0	Maintenance	yes	after		21
232	45	1384719342	A2C00NNG1ZQQG2	Musical Instruments	2	Only thing is that the gooseneck is only marginally able to hold the screen in position and requires careful positioning of the clamp to avoid sagging.	1.0	First time use	yes	both		26
359	68	1589781066	A6VY3JUKZYZNX	Toys & Games	2	Bad: The mechanics of the expeditions are not easy for some players to understand.	1.0	Warning	no	before		14
415	71	158994030X	A3FKAZNKWZ3Y5D	Toys & Games	17	Also, you must get sleeves for the character cards.	1.0	Maintenance	yes	after		9
459	73	1589942108	A5FSPUNT7OI0H	Toys & Games	3	Word of warning, though, if youre new to more complex board games, this ones a doozy, but dont let that scare you away from the game.	1.0	Warning	yes	before		26
649	87	1589947061	A3M7Q456YHHMH2	Toys & Games	16	Pros:Co-opNot super difficult to learnNice themeCons:Very luck-heavyNot very many significant decisions to make	1.0	Warning	yes	before		13
658	89	1589949811	A39Y8PD8Y9BA5H	Toys & Games	7	The game is quite text heavy with fiddly texts, and those that arent really into board games might not get a kick out of it.	1.0	Usage	yes	before		25
709	93	1594721270	A14TUWXDA5WQ7W	Toys & Games	42	UPDATE (August 22, 2010): Apparently, the publisher wised-up and included a set of raised tab divider cards in the Thunderstone: Wrath of the Elements Expansion so that solves the storage tray nightmare... if you like the game enough to spring for the expansion.	1.0	Complementary product	yes	after		40
820	115	1616615044	A2Y96MUF4VWAOW	Toys & Games	3	I recommend this game to anyone who loves mystery.	1.0	Population segment	yes	before		9
836	118	1616615370	A2O1SP6ZPJKCAS	Toys & Games	9	Do not try to bend or anything like that because they will break and you will have to do some gluing.	1.0	Usage	yes	both		21
1049	159	8499002323	APZMW24EELJ3M	Toys & Games	4	Considering its size and the material it is made with, I have to closely monitor my child while he is using it.	1.0	Warning	yes	after		22
1050	159	8499002323	APZMW24EELJ3M	Toys & Games	5	If you are purchasing this for a young child, you may want to consider a different item.	1.0	Warning	yes	before		17
1066	163	9269806723	A2FZQF0MH29VYN	Toys & Games	6	I did have to buy an adapter to charge the Traxxas connectors.	1.0	Complementary product	no	both		12
1088	166	9269808955	A39IDAUEE4VEFZ	Toys & Games	8	I would definitely advise you to buy a few spares.	1.0	Warning	yes	both		10
1205	184	B00000ELZ5	A1II9F7V7C5EE0	Sports & Outdoors	13	They are NOT made to be dropped!!!	1.0	Warning	yes	both		7
1229	186	B00000IRMM	A1MFIVHYJS11WY	Toys & Games	5	So whats wrong with it?The numbers are not very dark so it is difficult to read it in both dim conditions and in bright light.	1.0	Warning	yes	before		26
1233	186	B00000IRMM	A1MFIVHYJS11WY	Toys & Games	9	The problem is that the lines have fairly large spaces between them which make the numbers oddly formed.	1.0	Warning	yes	before		18
1235	186	B00000IRMM	A1MFIVHYJS11WY	Toys & Games	11	The buttons barely work.	1.0	Warning	yes	before		4
1250	188	B00000IRTS	A3L2AQGJLCSLFB	Toys & Games	6	One of the front yellow pieces would NOT fit in the red car part.	1.0	Workaround	yes	after		14
1268	192	B00000IRYI	A2WS6FMF750EI9	Toys & Games	2	Definitely for ages four and up for independent use.	1.0	Population segment	yes	before		9
1300	198	B00000IS0P	A9WCOZTW6FNY	Toys & Games	2	But I am quite disappointed in the quality of sound.	1.0	Warning	yes	before		10
1338	209	B00000ISUK	A3KY68OTSNHM3G	Toys & Games	2	Once out of the box, we were frustrated with the number of small parts, such as the tiny plastic balls which are used in the loader.	1.0	Warning	no	after		26
1400	222	B00000IUFA	A3B86I1032MTQ3	Toys & Games	5	Yes the little cards are not the strongest cardboard they could have used and that is my only complain.	1.0	Workaround	yes	after		19
1449	227	B00000IUT7	A30H2335OM7RD6	Toys & Games	11	The one negative- it eats batteries like crazy.	1.0	Warning	yes	before		7
1495	233	B00000IV3U	A3LOVYOYGXZEZV	Toys & Games	5	After the looming is done, when you get to the finishing part where you are working with braiding the end, (if a kid is the one creating the pot holder) the child will probably need an adults help because the loops easily come off the end of the loom and that can be frustrating for young kids.	1.0	Warning	yes	after		57
1497	233	B00000IV3U	A3LOVYOYGXZEZV	Toys & Games	7	The kids will need help pushing the loops down regularly also because since they are a little thicker than the cheap ones they dont slide as easily and can create a little bit of a hump as you are looming.	1.0	Warning	yes	after		40
1516	236	B00000IV8B	A2QDFKU0CZ9ZX9	Toys & Games	4	Theyre made of cardboard, so make sure they dont get too wet.	1.0	Warning	yes	both		12
1564	245	B00000IWD3	A29L4QWSIXKRE3	Toys & Games	1	This is a neat game and the concept is great however, it can end up being very, very, very long!	1.0	Warning	yes	before		20
1569	245	B00000IWD3	A29L4QWSIXKRE3	Toys & Games	6	Still a great game that teaches numbers, counting, and ever a little bit of colors... if you have the patience.	1.0	Alternative use	yes	both		20
1633	256	B00000IZQX	ADX9NTN40T1HN	Toys & Games	6	So please dont get too comfortable with the name of the toy, a toddler can still fall over and hurt himself/herself.	1.0	Warning	yes	both		20
1654	260	B00000J3LL	A30H2335OM7RD6	Baby	4	If you sew you can make one that is more directed to your child.	1.0	Workaround	yes	after		14
1677	264	B00000J50C	AC4FUX25LEHIP	Toys & Games	5	We use them to learn animals, numbers, letters and symbols.	1.0	Usage	yes	both		10
1775	282	B0000206G9	A2LOD3K7460UB	Toys & Games	2	He absolutely loves the ball pit; however, you will want more than 50 balls.	1.0	Complementary product	yes	both		13
1802	285	B0000222V1	A14JBDSWKPKTZA	Tools & Home Improvement	3	They work in the Dewalts, Makitas, or course the Porter Cables, as the description says, but they also work in the Fein Rt-1800, and with the Bosch routers as well with the adapter.	1.0	Other	yes	both		32
1822	287	B0000222V9	A3GFEC3CFRS5NN	Tools & Home Improvement	5	"I added a strip of 3/4"" wide 6"" long aluminum bar stock to the edge to strengthen it up and provide a single linear surface for smoother operation on smaller stock."	1.0	Workaround	yes	after		29
1865	293	B0000222X8	A10BC5NHJXLZL0	Tools & Home Improvement	5	The quick release is a big plus, just be sure the blade is seated properly and fully before proceeding.	1.0	Usage	yes	after		19
1878	295	B0000222XC	A3MR51MDYU0KXJ	Tools & Home Improvement	7	I do recommend upgrading the sanding shoe and I wish porter cable offered that as a standard.	1.0	Complementary product	yes	both		17
1890	296	B0000222XD	A14JBDSWKPKTZA	Tools & Home Improvement	9	Quiet-you do not have to wear ear protection to use this.	1.0	Usage	no	after		10
1893	296	B0000222XD	A14JBDSWKPKTZA	Tools & Home Improvement	12	You dont have to push down on the unit, in order to get the job done.	1.0	Usage	yes	after		16
1894	296	B0000222XD	A14JBDSWKPKTZA	Tools & Home Improvement	13	To those who mention that you have to keep an eye on the machine, because it can take away too much material too fast, that is because they are using a coarser grit than is required for the task.	1.0	Usage	no	after		39
1913	297	B0000222XM	A3FRZ57D9TH2D3	Tools & Home Improvement	5	But then I realized that the rubber profile had a powder-like substance on them, a residue of the manufacturing process.	1.0	Maintenance	no	after		19
1919	297	B0000222XM	A3FRZ57D9TH2D3	Tools & Home Improvement	11	Just make sure that they are fully seated in the holder clip that grips the profiles.	1.0	Usage	no	after		16
1920	297	B0000222XM	A3FRZ57D9TH2D3	Tools & Home Improvement	12	Also, for additional sticking power on the adhesive-backed sandpaper, I recommend that you run the paper up the sides of the profile to almost the edge of the clip that holds the profile.	1.0	Usage	yes	after		32
1922	297	B0000222XM	A3FRZ57D9TH2D3	Tools & Home Improvement	14	The smaller pieces will clog faster than the large pieces of sandpaper on, say a 6-inch random orbital sander.	1.0	Usage	yes	after		18
1928	297	B0000222XM	A3FRZ57D9TH2D3	Tools & Home Improvement	20	A new, properly cut piece applied and no more black streaks.	1.0	Warning	no	after		11
1957	302	B0000222YP	A25ULOJZHL8K1E	Tools & Home Improvement	2	Many idiots have my sander and it has taken a few falls, but still works with no unusual noises  and i like the hook and loop, but if you dont you can simply un  screw the pad and put on an adhesive backed pad.	1.0	Workaround	yes	after		44
1971	304	B0000222Z4	A1U2XQJF9QQ7JS	Tools & Home Improvement	1	Ergonomics are not at good at the 309 (that gave up the ghost after close to 30 years), the cord and switch are oddly placed, to it always feels a little irritating to use and set up.	1.0	Warning	yes	before		35
2000	307	B0000222ZC	A1J0GL9HCA7ELW	Tools & Home Improvement	8	If you are doing alot of boxes and frames, I think you will like these biscuits.	1.0	Usage	yes	both		16
2005	310	B0000222ZN	A304GUEPCPYM3Z	Tools & Home Improvement	1	This is a nice accessory to have, if you already own a DeWalt battery pack and the charger.	1.0	Complementary product	yes	before		18
2006	310	B0000222ZN	A304GUEPCPYM3Z	Tools & Home Improvement	2	Basically, that would limit my recommendation of this product to those who already own a cordless 14.4 volt DeWalt tool.	1.0	Population segment	yes	before		19
2019	310	B0000222ZN	A304GUEPCPYM3Z	Tools & Home Improvement	15	I highly recommend this high quality light to those who already own a DeWalt tool that uses the 14.4 volt battery pack.	1.0	Population segment	yes	before		21
2111	322	B00002231V	A23CI4YSY7M64H	Tools & Home Improvement	13	The torque on this saw is so strong that it will really twist in your hand when you pull the trigger.	1.0	Usage	no	before		21
2152	328	B00002232Z	A3F4G1G2RLUNZB	Tools & Home Improvement	3	First, Im not a big fan of forced-air dustbags in the first place, but this one is particularly annoying because it always falls off from the sanders own vibration.	1.0	Warning	yes	before	before	28
